DRG Definition,Provider State,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC",OH,86,29950.30233,9937.406977,8115.918605
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC",PA,102,56872.77451,10662.12745,8669.509804
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC",IL,119,45871.15126,11884.29412,9366.882353
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC",NY,135,55232.71111,15773.03704,13238.71111
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC",TX,141,60836.70922,10325.12057,8705.092199
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC",FL,168,57690.68452,9340.160714,7984.875
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC",CA,188,82706.59575,14205.2766,12568.83511
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",NM,12,16208.33333,7143.916667,6011.083333
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",ND,13,17217.84615,6535.692308,4589.076923
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",UT,13,20861.15385,6587.769231,5075.307692
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",MT,14,19982.07143,6358.785714,4576.214286
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",DC,18,36194.11111,9901.666667,6538.722222
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",DE,18,17895.27778,7360.277778,5442.055556
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",ME,18,17835.61111,7362.333333,5203.555556
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",RI,20,21298.05,8036.15,6041.8
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",OR,22,26437.63636,9896.863636,6049.090909
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",NH,25,22775.32,6554.4,5131.64
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",NE,27,18708.59259,5927.925926,4445.740741
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",WV,29,22251.44828,7652.896552,4918.413793
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",AR,31,23184,5525.096774,4432.096774
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",NV,33,41285.45455,7327.787879,5958.272727
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",IA,37,21985.97297,6326.513514,5174.324324
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",KS,42,29940.30952,6034.095238,4631.261905
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",MS,44,27452.43182,5931.636364,4867.659091
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",CO,46,42663.3913,6698.456522,5295.826087
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",OK,54,22879.38889,6246.462963,4912.907407
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",AZ,55,33472.74546,7357.945455,6149.145455
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",WA,57,26920.36842,7323.508772,6013.157895
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",WI,57,22004.33333,6757.31579,4855.052632
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",LA,60,24344.25,6322,4774.95
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",CT,61,23722.19672,8347.360656,6472.52459
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",KY,62,25061.3871,6322.032258,4917.16129
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",SC,67,33961.73134,7642.850746,5420.253731
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",AL,69,24227.7971,5623.144928,4112.231884
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",MN,86,17988.0814,7197.662791,5921.023256
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",TN,88,22119.51136,5890.795455,4457.125
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",NC,92,22913.67391,6663.054348,4775.173913
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",MO,96,25171.36458,6002.5625,4821.0625
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",MD,98,10222,9619.806122,8055.571429
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",GA,100,28573.56,6225.55,4704.55
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",VA,113,21514.50443,6174.876106,4422.088496
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",IN,119,24277.32773,6086.336135,4798.521008
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",NJ,152,49912.80921,7959.032895,5873.960526
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",OH,183,21699.82514,6758.677596,4925.754098
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",MA,185,18944.42703,8233.221622,6818.151351
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",IL,207,28936.89372,7260.676329,5355
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",MI,221,19194.37557,6734.438914,5438.502262
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",PA,245,34129.89796,7179.75102,5283.873469
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",TX,289,36630.3391,6681.152249,4876.564014
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",CA,293,55925.30717,9313.122867,7763.638225
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",NY,314,36446.46178,9560.601911,7691.949045
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",FL,346,40213.89595,6235.433526,4845.083815
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",AR,12,12276.41667,4061.333333,2724.166667
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",DE,13,12044.46154,5324,3757.384615
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",OR,13,18901.30769,6663.153846,4364.846154
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",KS,15,18417.66667,4340.133333,3028
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",NE,15,15489.46667,4765.666667,3450.466667
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",CO,16,22148.25,5635.875,4240.5625
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",WV,17,16514.94118,5444.529412,3518.117647
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",OK,19,14700.68421,5650.052632,3075.842105
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",WI,21,14282.76191,5335.333333,3662.666667
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",SC,24,20710.83333,5180,3117.958333
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",WA,24,22956.95833,5480.083333,3793.541667
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",KY,26,18169.26923,5096.653846,3216.769231
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",MS,26,23354.69231,4702.153846,3270.076923
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",CT,29,14726,6038.034483,4455.896552
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",IN,31,18070.3871,4512.580645,3411.806452
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",MN,32,15702.78125,5698.6875,4134.28125
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",AL,33,21300.39394,4348.181818,3013.69697
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",GA,33,20098.90909,5258.848485,3192.272727
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",MO,33,20712.06061,4207.484849,3048.272727
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",AZ,35,23022.82857,5779.228571,4406.485714
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",VA,36,16443.47222,4585.972222,3147.444444
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",LA,38,22590.92105,5181.342105,3468.631579
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",MD,44,7499.522727,7003.409091,5893.636364
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",TN,45,17187.51111,4549.177778,3244.355556
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",NC,47,17961.42553,5621.425532,3412.829787
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",OH,60,17946.25,4989.616667,3552
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",IL,71,20234.09859,5442.507042,3875.225352
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",NJ,71,43587.11268,6398.366197,4167.239437
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",MI,78,14291.65385,5159.74359,3786.602564
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",MA,82,12887,5970.170732,4551.512195
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",PA,95,30729.6,5695.084211,3636.052632
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",TX,114,25592.19298,5407.72807,3581.842105
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",CA,129,41352.15504,7013.341085,5497.356589
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",NY,150,25928.98667,7422.746667,5533.46
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",FL,171,32355.30409,4853.105263,3416.087719
DENTAL & ORAL DISEASES W MCC,DC,11,54457.45455,14774.09091,12057.27273
DENTAL & ORAL DISEASES W MCC,MS,11,23059.36364,8792.363636,7951.090909
DENTAL & ORAL DISEASES W MCC,NE,12,37439.91667,11369.08333,10050
DENTAL & ORAL DISEASES W MCC,OR,12,34569,12856.91667,11492.75
DENTAL & ORAL DISEASES W MCC,WV,12,30108,11744.41667,9784.833333
DENTAL & ORAL DISEASES W MCC,AR,14,47946.85714,12225.5,10109.21429
DENTAL & ORAL DISEASES W MCC,SC,14,62602.14286,11935.07143,9878.5
DENTAL & ORAL DISEASES W MCC,NV,15,89455.06667,13583.46667,11689.06667
DENTAL & ORAL DISEASES W MCC,OK,15,60001.53333,12198.73333,10728.8
DENTAL & ORAL DISEASES W MCC,KS,16,48527.6875,9495.1875,8753.9375
DENTAL & ORAL DISEASES W MCC,LA,17,53341.64706,10797.35294,8946.176471
DENTAL & ORAL DISEASES W MCC,IA,20,45030.2,14478.3,8925.85
DENTAL & ORAL DISEASES W MCC,CT,25,50442.32,15891.36,12691.08
DENTAL & ORAL DISEASES W MCC,MD,25,14531.4,13419.84,11898.96
DENTAL & ORAL DISEASES W MCC,KY,29,31595.03448,11764.7931,8121.62069
DENTAL & ORAL DISEASES W MCC,CO,30,67962.63333,12846.03333,10068.13333
DENTAL & ORAL DISEASES W MCC,WA,30,58673.46667,17112.4,13421.83333
DENTAL & ORAL DISEASES W MCC,WI,30,37201.5,10795.43333,9289.133333
DENTAL & ORAL DISEASES W MCC,AL,34,60087.76471,10097.58824,8503.882353
DENTAL & ORAL DISEASES W MCC,IN,37,42221.40541,10064.67568,8953.324324
DENTAL & ORAL DISEASES W MCC,AZ,38,48598.10526,11879.84211,10568.81579
DENTAL & ORAL DISEASES W MCC,MN,44,42954.09091,22390.65909,10281.86364
DENTAL & ORAL DISEASES W MCC,VA,44,48409.95455,11750.79546,8767.863636
DENTAL & ORAL DISEASES W MCC,MA,47,32824.31915,14877.89362,13020.82979
DENTAL & ORAL DISEASES W MCC,MO,47,43630.53192,11720.10638,10572.31915
DENTAL & ORAL DISEASES W MCC,GA,49,55476.95918,12252.4898,10357.89796
DENTAL & ORAL DISEASES W MCC,TN,52,54907.78846,12011.61539,10132.38462
DENTAL & ORAL DISEASES W MCC,NJ,53,98963.24528,13558.84906,11386.0566
DENTAL & ORAL DISEASES W MCC,OH,65,34460.23077,11469.29231,9696.107692
DENTAL & ORAL DISEASES W MCC,MI,73,25103.84931,11422.86301,10198.56164
DENTAL & ORAL DISEASES W MCC,NC,80,36409.4125,12149.075,9249.4625
DENTAL & ORAL DISEASES W MCC,PA,82,83351.03659,15321.58537,10987.95122
DENTAL & ORAL DISEASES W MCC,IL,84,51929.91667,13866.91667,10471.71429
DENTAL & ORAL DISEASES W MCC,NY,101,57131.52475,16843.23762,14729.30693
DENTAL & ORAL DISEASES W MCC,TX,126,66156.5873,11531.1746,9786.357143
DENTAL & ORAL DISEASES W MCC,FL,129,60283.85271,10395.96124,9005.023256
DENTAL & ORAL DISEASES W MCC,CA,135,105075.9259,18302.25926,15274.32593
DENTAL & ORAL DISEASES W CC,NM,11,20549.45455,8705.181818,6797.272727
DENTAL & ORAL DISEASES W CC,DC,12,29157,8666.75,6592.5
DENTAL & ORAL DISEASES W CC,ND,13,15665.23077,5854.076923,4659.769231
DENTAL & ORAL DISEASES W CC,OR,16,18883.5625,7476.625,6223.875
DENTAL & ORAL DISEASES W CC,DE,17,17850.41177,7407.823529,4505.764706
DENTAL & ORAL DISEASES W CC,ME,17,18444.76471,6438.352941,4975.764706
DENTAL & ORAL DISEASES W CC,NH,21,24927.47619,6247.476191,4954.047619
DENTAL & ORAL DISEASES W CC,NE,22,18914.86364,5768.818182,4635.590909
DENTAL & ORAL DISEASES W CC,IA,24,20902.79167,6446.708333,4961.5
DENTAL & ORAL DISEASES W CC,RI,24,17921.16667,7735.416667,6350.416667
DENTAL & ORAL DISEASES W CC,MS,26,27690.84615,5469.884615,4340.269231
DENTAL & ORAL DISEASES W CC,WV,31,18610.06452,6829.935484,4879.774194
DENTAL & ORAL DISEASES W CC,CT,34,31609.5,8945.235294,5701.882353
DENTAL & ORAL DISEASES W CC,KS,34,40226.44118,6016.117647,4784.470588
DENTAL & ORAL DISEASES W CC,OK,34,28568.47059,6906.382353,4822.088235
DENTAL & ORAL DISEASES W CC,NV,35,42170.77143,7683.742857,6063.942857
DENTAL & ORAL DISEASES W CC,SC,35,26542.82857,5740.6,4518.057143
DENTAL & ORAL DISEASES W CC,WI,38,19495.44737,6470.368421,5047.973684
DENTAL & ORAL DISEASES W CC,AR,40,19018.85,5233.325,3746.5
DENTAL & ORAL DISEASES W CC,WA,40,32318.35,7271.15,5884.975
DENTAL & ORAL DISEASES W CC,KY,41,21224.02439,6815.585366,4888.658537
DENTAL & ORAL DISEASES W CC,AL,44,29304.47727,5959.113636,3681.340909
DENTAL & ORAL DISEASES W CC,LA,44,32239.20455,7422.818182,5677.704546
DENTAL & ORAL DISEASES W CC,CO,49,39360.14286,6050.77551,4778.877551
DENTAL & ORAL DISEASES W CC,AZ,58,36138.15517,7145,5452.534483
DENTAL & ORAL DISEASES W CC,GA,58,26947.74138,6300.465517,4770.637931
DENTAL & ORAL DISEASES W CC,MN,67,19270.49254,7483.044776,5408.626866
DENTAL & ORAL DISEASES W CC,IN,69,29109.44928,7319.086957,4861.246377
DENTAL & ORAL DISEASES W CC,VA,80,25169.3125,6299.0125,4177.2625
DENTAL & ORAL DISEASES W CC,MD,82,10309.2561,9612.731707,8138.158537
DENTAL & ORAL DISEASES W CC,TN,84,25724.22619,6728.535714,4717.988095
DENTAL & ORAL DISEASES W CC,NC,88,22129.06818,6698.431818,4742.590909
DENTAL & ORAL DISEASES W CC,MO,94,26349.94681,6408.882979,5137.170213
DENTAL & ORAL DISEASES W CC,MA,123,19747.92683,8210.650407,6679.01626
DENTAL & ORAL DISEASES W CC,NJ,136,50402.07353,7307.713235,5780.073529
DENTAL & ORAL DISEASES W CC,MI,142,19178.85211,7134.880282,5360.71831
DENTAL & ORAL DISEASES W CC,OH,144,21543.14583,6623.152778,4963.583333
DENTAL & ORAL DISEASES W CC,IL,163,26029.26994,7271.355828,5466.251534
DENTAL & ORAL DISEASES W CC,PA,207,36268.4686,7454.502416,4875.434783
DENTAL & ORAL DISEASES W CC,NY,220,35498.02273,9108.681818,7329.695455
DENTAL & ORAL DISEASES W CC,CA,236,53421.02542,8975.881356,7283.817797
DENTAL & ORAL DISEASES W CC,TX,249,34456.93574,6476.064257,4829.698795
DENTAL & ORAL DISEASES W CC,FL,322,38272.54658,6060.673913,4733.586957
DENTAL & ORAL DISEASES W/O CC/MCC,IA,11,23247,4914,3547.454546
DENTAL & ORAL DISEASES W/O CC/MCC,WV,11,16064.63636,4831.909091,3492.636364
DENTAL & ORAL DISEASES W/O CC/MCC,CT,12,22687.83333,6060.5,4177.416667
DENTAL & ORAL DISEASES W/O CC/MCC,KS,12,33899.75,4389.25,3413.916667
DENTAL & ORAL DISEASES W/O CC/MCC,LA,13,15055.23077,6036.076923,4120.846154
DENTAL & ORAL DISEASES W/O CC/MCC,NV,13,33787.92308,5788.230769,4481.769231
DENTAL & ORAL DISEASES W/O CC/MCC,WI,13,18540,5429.692308,3110.769231
DENTAL & ORAL DISEASES W/O CC/MCC,CO,14,34136.78571,5220.285714,3112.714286
DENTAL & ORAL DISEASES W/O CC/MCC,KY,14,18810.42857,4937.714286,3609.928571
DENTAL & ORAL DISEASES W/O CC/MCC,AZ,15,29589.86667,6071.733333,3012.066667
DENTAL & ORAL DISEASES W/O CC/MCC,SC,15,16935.33333,4740.133333,3309.666667
DENTAL & ORAL DISEASES W/O CC/MCC,WA,15,25456.86667,4994.8,3485.2
DENTAL & ORAL DISEASES W/O CC/MCC,AL,17,13846.17647,4100.941177,2587.058824
DENTAL & ORAL DISEASES W/O CC/MCC,MN,20,15317.15,5626.5,3826.9
DENTAL & ORAL DISEASES W/O CC/MCC,VA,22,22620.22727,5394.772727,2468.636364
DENTAL & ORAL DISEASES W/O CC/MCC,MO,24,22809.25,4550.375,3146.458333
DENTAL & ORAL DISEASES W/O CC/MCC,IN,25,20931.12,5303.2,3011.88
DENTAL & ORAL DISEASES W/O CC/MCC,TN,25,25195,4791.36,3228.48
DENTAL & ORAL DISEASES W/O CC/MCC,GA,26,23530.26923,4970.538462,3697.384615
DENTAL & ORAL DISEASES W/O CC/MCC,NC,29,18399.86207,4630.551724,3266.965517
DENTAL & ORAL DISEASES W/O CC/MCC,MA,30,12589.8,5993.466667,4631.066667
DENTAL & ORAL DISEASES W/O CC/MCC,MD,31,6903.709677,6475.903226,5181.258065
DENTAL & ORAL DISEASES W/O CC/MCC,OH,34,16183.02941,5440.705882,3255.147059
DENTAL & ORAL DISEASES W/O CC/MCC,NJ,37,41063.94595,5947.135135,4409.540541
DENTAL & ORAL DISEASES W/O CC/MCC,MI,41,13601.48781,5180.048781,3540
DENTAL & ORAL DISEASES W/O CC/MCC,IL,54,21134,5925.611111,3373.87037
DENTAL & ORAL DISEASES W/O CC/MCC,PA,63,27313.12698,6062.68254,3611.365079
DENTAL & ORAL DISEASES W/O CC/MCC,TX,71,28632.97183,4712.676056,3320.422535
DENTAL & ORAL DISEASES W/O CC/MCC,CA,73,40782.08219,7332.150685,5978.082192
DENTAL & ORAL DISEASES W/O CC/MCC,FL,88,30035.31818,4406.545455,3189.693182
DENTAL & ORAL DISEASES W/O CC/MCC,NY,95,27444.13684,7729.305263,5862.094737
MAJOR CHEST PROCEDURES W MCC,RI,20,155061.8,52187.75,45210.3
MAJOR CHEST PROCEDURES W MCC,AK,21,219458.0952,50268.66667,47034.14286
MAJOR CHEST PROCEDURES W MCC,DE,25,114395.88,37305.68,33154.8
MAJOR CHEST PROCEDURES W MCC,HI,26,170962.1539,60790.34615,52249.96154
MAJOR CHEST PROCEDURES W MCC,ID,26,93773.46154,37341.53846,24564.80769
MAJOR CHEST PROCEDURES W MCC,DC,39,160180.0769,48937.53846,39205.69231
MAJOR CHEST PROCEDURES W MCC,SD,49,106074.3469,32600.06122,30327.36735
MAJOR CHEST PROCEDURES W MCC,NM,59,130773.7966,37334.89831,33974.37288
MAJOR CHEST PROCEDURES W MCC,UT,59,104531.5254,33962.08475,29504.28814
MAJOR CHEST PROCEDURES W MCC,ME,60,88494.75,34953.96667,32203.58333
MAJOR CHEST PROCEDURES W MCC,ND,61,102690.1967,36583.31148,33171.27869
MAJOR CHEST PROCEDURES W MCC,MT,67,79328.31343,32545,31616.40299
MAJOR CHEST PROCEDURES W MCC,NH,78,111059.8718,37861.69231,35242.39744
MAJOR CHEST PROCEDURES W MCC,WV,98,113619.8163,36306.4898,32659.59184
MAJOR CHEST PROCEDURES W MCC,OR,116,115280.0776,44025.37069,39806.66379
MAJOR CHEST PROCEDURES W MCC,KS,118,134689.0678,31862.65254,28145.67797
MAJOR CHEST PROCEDURES W MCC,NV,122,238385.1148,38289.85246,32115.97541
MAJOR CHEST PROCEDURES W MCC,MS,136,157652.7206,30656.34559,28887.77941
MAJOR CHEST PROCEDURES W MCC,NE,143,112539.7413,35255.6993,29505.41958
MAJOR CHEST PROCEDURES W MCC,CT,144,133476.8958,44363.83333,38380.61806
MAJOR CHEST PROCEDURES W MCC,OK,154,160516.1623,33909.71429,30145.2013
MAJOR CHEST PROCEDURES W MCC,IA,157,94770.17834,32287.42675,28151.26115
MAJOR CHEST PROCEDURES W MCC,AR,159,124673.5912,30185.7044,27699.62264
MAJOR CHEST PROCEDURES W MCC,CO,162,183387.5124,37919.05556,34145.01852
MAJOR CHEST PROCEDURES W MCC,LA,181,141207.5856,31635.16022,27517.43094
MAJOR CHEST PROCEDURES W MCC,WI,184,116539.9565,35612.77717,31972.54348
MAJOR CHEST PROCEDURES W MCC,MD,215,48264.41861,44581.68372,42601.1907
MAJOR CHEST PROCEDURES W MCC,WA,224,155102.5268,44688.22768,37907.12054
MAJOR CHEST PROCEDURES W MCC,SC,237,162599.8945,36984.08861,32405.64135
MAJOR CHEST PROCEDURES W MCC,MN,272,117501.5588,44788.41544,40611.67647
MAJOR CHEST PROCEDURES W MCC,AL,283,140091.682,29268.53357,25975.22615
MAJOR CHEST PROCEDURES W MCC,KY,292,122069.8185,33178.34589,28854.31849
MAJOR CHEST PROCEDURES W MCC,VA,302,140383.6887,37869.64901,30142.00662
MAJOR CHEST PROCEDURES W MCC,AZ,304,160181.4967,38057.89803,33762.75987
MAJOR CHEST PROCEDURES W MCC,IN,325,140865.4,35645.99385,30036.00308
MAJOR CHEST PROCEDURES W MCC,NJ,356,215829.3034,38694.95506,35892.22753
MAJOR CHEST PROCEDURES W MCC,MA,366,119979.2705,46360.20492,42002.37159
MAJOR CHEST PROCEDURES W MCC,MO,369,124465.1247,32886.49323,30745.60976
MAJOR CHEST PROCEDURES W MCC,GA,376,132515.4122,33851.44415,30442.51596
MAJOR CHEST PROCEDURES W MCC,NC,387,111596.9587,35279.26615,30070.19121
MAJOR CHEST PROCEDURES W MCC,TN,394,128989.3579,30504.64721,27321.1066
MAJOR CHEST PROCEDURES W MCC,MI,451,103734.5787,36323.99557,32991.35033
MAJOR CHEST PROCEDURES W MCC,IL,510,146564.151,36632.47451,31759.87647
MAJOR CHEST PROCEDURES W MCC,NY,549,170550.8233,45686.80146,41688.08197
MAJOR CHEST PROCEDURES W MCC,PA,552,197229.5851,38735.50725,31521.79348
MAJOR CHEST PROCEDURES W MCC,OH,558,134003.0394,36217.07885,29648.55914
MAJOR CHEST PROCEDURES W MCC,TX,925,181421.8627,33915.98595,30406.73622
MAJOR CHEST PROCEDURES W MCC,FL,928,201574.9882,32369.72953,29511.51293
MAJOR CHEST PROCEDURES W MCC,CA,997,282145.5366,48013.84955,43583.7673
MAJOR CHEST PROCEDURES W CC,HI,32,72274.46875,27400.25,17626.625
MAJOR CHEST PROCEDURES W CC,NM,35,76178.82857,19614.22857,15333.97143
MAJOR CHEST PROCEDURES W CC,VT,37,61445.64865,25303.32432,20722.45946
MAJOR CHEST PROCEDURES W CC,ID,47,89157.14894,18467.44681,17276.97872
MAJOR CHEST PROCEDURES W CC,RI,52,66090.21154,21415.76923,19649.67308
MAJOR CHEST PROCEDURES W CC,DE,58,66431.22414,19797.91379,16358.06897
MAJOR CHEST PROCEDURES W CC,ND,64,58635.1875,17229.59375,15727.51563
MAJOR CHEST PROCEDURES W CC,NV,64,124326.8906,20116.73438,15555.34375
MAJOR CHEST PROCEDURES W CC,SD,64,73832.09375,17636.10938,16392.625
MAJOR CHEST PROCEDURES W CC,DC,69,103702.087,24676.3913,17792.33333
MAJOR CHEST PROCEDURES W CC,MT,69,54250.53623,17530.07246,14952.72464
MAJOR CHEST PROCEDURES W CC,UT,78,72926.30769,22519.62821,16139.47436
MAJOR CHEST PROCEDURES W CC,NH,113,60321.65487,21805.49558,18301.14159
MAJOR CHEST PROCEDURES W CC,ME,119,49651.91597,17533.4874,15423.96639
MAJOR CHEST PROCEDURES W CC,WV,121,67703.81818,18622.40496,15491.73554
MAJOR CHEST PROCEDURES W CC,KS,130,85697.79231,16088.62308,14471.7
MAJOR CHEST PROCEDURES W CC,NE,144,75268.70833,17885.90972,15489.75694
MAJOR CHEST PROCEDURES W CC,MS,150,76619.60667,15928.85333,14103.88
MAJOR CHEST PROCEDURES W CC,IA,153,64456.04575,17449.60784,15164.71242
MAJOR CHEST PROCEDURES W CC,AR,170,61330.01765,15620.23529,13307.64706
MAJOR CHEST PROCEDURES W CC,LA,175,80398.44571,16390.30286,13952.91429
MAJOR CHEST PROCEDURES W CC,CO,191,119390.8796,21122.68063,16666.83246
MAJOR CHEST PROCEDURES W CC,OK,196,87367.30612,17575.08674,14596.71939
MAJOR CHEST PROCEDURES W CC,OR,207,63839.34783,21856.20773,17611.04348
MAJOR CHEST PROCEDURES W CC,CT,212,80914.35377,23975.97642,19134.77359
MAJOR CHEST PROCEDURES W CC,AZ,258,101268.2093,19770.86822,16944.75194
MAJOR CHEST PROCEDURES W CC,AL,268,85977.21642,15382.18284,13230.04105
MAJOR CHEST PROCEDURES W CC,SC,276,91105.80073,17333.48551,14625.86594
MAJOR CHEST PROCEDURES W CC,WI,304,66210.52632,19249.28618,16007.19079
MAJOR CHEST PROCEDURES W CC,KY,309,77867.91586,17637.53074,15046.35599
MAJOR CHEST PROCEDURES W CC,WA,313,88398.4377,21777.34505,17893.20767
MAJOR CHEST PROCEDURES W CC,IN,358,88624.57263,18245.64805,15368.82682
MAJOR CHEST PROCEDURES W CC,MO,375,77014.41333,16757.85867,15011.488
MAJOR CHEST PROCEDURES W CC,MN,419,56301.72315,22438.72076,18682.02148
MAJOR CHEST PROCEDURES W CC,GA,422,75455.09479,17357.37441,14794.07346
MAJOR CHEST PROCEDURES W CC,TN,452,75761.42699,17150.58407,14194.1792
MAJOR CHEST PROCEDURES W CC,MD,453,31491.13466,29096.52318,27367.85431
MAJOR CHEST PROCEDURES W CC,MI,492,63204.75,19570.61585,16681.76829
MAJOR CHEST PROCEDURES W CC,NJ,509,100420.0138,20546.30452,18153.01179
